""|"email_id"|"sender"|"receiver"|"datetime"|"object"|"date"|"less_than_11h"|"is_sent_before_8h"|"is_sent_after_21h"|"day_name"|"is_sent_on_sunday"|"is_sent_on_saturday"|"sender_name"|"receiver_name"
"0"|"1123"|"Bryan Temp <bryan.temp@gmail.com>"|"Michael Scott <michael.scott@gmail.com>, Dwight Shrutte <dwight.schrutte@gmail.com>"|"2020-01-01 10:55:02"|"normal email 1"|"2020-01-01"|"False"|"True"|"False"|"Wednesday"|"False"|"False"|"Bryan Temp"|"Michael Scott;Dwight Schrutte"
"1"|"1456"|"Bryan Temp <bryan.temp@gmail.com>"|"Jim Halpert <jim.halpert@gmail.com>, Maredith Palmer <meredith.palmer@gmail.com>"|"2020-01-01 11:55:02"|"normal email 2"|"2020-01-01"|"False"|"True"|"False"|"Wednesday"|"False"|"False"|"Bryan Temp"|"Jim Halpert;Meredith Palmer"
"2"|"1789"|"Bryan Temp <bryan.temp@gmail.com>"|"Michael Scott <michael.scott@gmail.com>, Dwight Shrutte <dwight.schrutte@gmail.com>, Jim Halpert <jim.halpert@gmail.com>, Maredith Palmer <meredith.palmer@gmail.com>"|"2020-01-01 12:55:02"|"normal email 3"|"2020-01-01"|"False"|"True"|"False"|"Wednesday"|"False"|"False"|"Bryan Temp"|"Michael Scott;Dwight Schrutte;Jim Halpert;Meredith Palmer"
"3"|"1101"|"Bryan Temp <bryan.temp@gmail.com>"|"Michael Scott <michael.scott@gmail.com>"|"2020-01-01 22:55:02"|"normal email 4"|"2020-01-01"|"False"|"True"|"True"|"Wednesday"|"False"|"False"|"Bryan Temp"|"Michael Scott"
"4"|"1112"|"Bryan Temp <bryan.temp@gmail.com>"|"Michael Scott <michael.scott@gmail.com>, Dwight Shrutte <dwight.schrutte@gmail.com>, Toby Flenderson <toby.flenderson@gmail.com>"|"2020-01-02 07:55:02"|"abnormal email 1"|"2020-01-02"|"True"|"False"|"False"|"Thursday"|"False"|"False"|"Bryan Temp"|"Michael Scott;Dwight Schrutte;Toby Flenderson"
"5"|"2123"|"Kelly Kapoor <kelly.kapoor@gmail.com>"|"Michael Scott <michael.scott@gmail.com>, Dwight Shrutte <dwight.schrutte@gmail.com>"|"2020-01-01 10:55:02"|"normal email 1"|"2020-01-01"|"False"|"True"|"False"|"Wednesday"|"False"|"False"|"Kelly Kapoor"|"Michael Scott;Dwight Schrutte"
"10"|"3123"|"Kelly Kapoor <kelly.kapoor@gmail.com>"|"Michael Scott <michael.scott@gmail.com>, Dwight Shrutte <dwight.schrutte@gmail.com>"|"2020-01-01 10:55:02"|"normal email 1"|"2020-01-01"|"False"|"True"|"False"|"Wednesday"|"False"|"False"|"Kelly Kapoor"|"Michael Scott;Dwight Schrutte"
"6"|"2456"|"Kelly Kapoor <kelly.kapoor@gmail.com>"|"Jim Halpert <jim.halpert@gmail.com>, Maredith Palmer <meredith.palmer@gmail.com>"|"2020-01-01 11:55:02"|"normal email 2"|"2020-01-01"|"False"|"True"|"False"|"Wednesday"|"False"|"False"|"Kelly Kapoor"|"Jim Halpert;Meredith Palmer"
"11"|"3456"|"Kelly Kapoor <kelly.kapoor@gmail.com>"|"Jim Halpert <jim.halpert@gmail.com>, Maredith Palmer <meredith.palmer@gmail.com>"|"2020-01-01 11:55:02"|"normal email 2"|"2020-01-01"|"False"|"True"|"False"|"Wednesday"|"False"|"False"|"Kelly Kapoor"|"Jim Halpert;Meredith Palmer"
"7"|"2789"|"Kelly Kapoor <kelly.kapoor@gmail.com>"|"Michael Scott <michael.scott@gmail.com>, Dwight Shrutte <dwight.schrutte@gmail.com>, Jim Halpert <jim.halpert@gmail.com>, Maredith Palmer <meredith.palmer@gmail.com>"|"2020-01-01 12:55:02"|"normal email 3"|"2020-01-01"|"False"|"True"|"False"|"Wednesday"|"False"|"False"|"Kelly Kapoor"|"Michael Scott;Dwight Schrutte;Jim Halpert;Meredith Palmer"
